author_name,book_title,pub_date,publisher,genres_tags,diversity_label
Talia Hibbert,"Get a Life, Chloe Brown (The Brown Sisters, #1)",2019,Avon,contemporary_romance rom-com,BIPOC Author BIPOC MC
Alisha Rai,"The Right Swipe (Modern Love, #1)",2019,Avon,contemporary_romance rom-com sports,BIPOC Author
Helen Hoang,"The Kiss Quotient (The Kiss Quotient, #1)",2018,Berkley,contemporary_romance rom-com fake_dating,BIPOC Author BIPOC MC
Talia Hibbert,"Take a Hint, Dani Brown (The Brown Sisters, #2)",2020,Avon,contemporary_romance rom-com,BIPOC Author BIPOC MC
Helen Hoang,"The Bride Test (The Kiss Quotient, #2)",2019,Berkley,contemporary_romance rom-com fake_relationship,BIPOC Author BIPOC MC
Mia Sosa,The Worst Best Man (ebook),2020,Avon,contemporary_romance rom-com enemies-to-lovers,BIPOC Author BIPOC MC
Farrah Rochon,"The Boyfriend Project (The Boyfriend Project, #1)",2020,Forever,contemporary_romance rom-com office_romance,BIPOC Author BIPOC MC
Alexis Daria,"You Had Me at Hola (Primas of Power, #1)",2020,Avon,contemporary_romance rom-com workplace_romance,BIPOC Author BIPOC MC
Casey McQuiston,"Red, White & Royal Blue (Paperback)",2019,St. Martin's Griffin,contemporary_romance rom-com enemies-to-lovers young_adult,LGBTQ+ Author LGBTQ+ MC
Alisha Rai,"Girl Gone Viral (Modern Love, #2)",2020,Avon,contemporary_romance rom-com,BIPOC Author
Alyssa Cole,"A Duke by Default (Reluctant Royals, #2)",2018,Avon,contemporary_romance scotland royalty,BIPOC Author BIPOC MC
Alyssa Cole,"A Princess in Theory (Reluctant Royals, #1)",2018,Avon,contemporary_romance royalty arranged_marriage,BIPOC Author BIPOC MC
Talia Hibbert,"Act Your Age, Eve Brown (The Brown Sisters, #3)",2021,Avon,contemporary_romance rom-com,BIPOC Author BIPOC MC
Sonali Dev,"Pride, Prejudice, and Other Flavors (The Rajes, #1)",2019,William Morrow Paperbacks,contemporary_romance retellings enemies-to-lovers,BIPOC Author BIPOC MC
Talia Hibbert,Untouchable (Ravenswood #2),2018,Avon,contemporary_romance small_town_romance second_chance_romance,BIPOC Author BIPOC MC
Alisha Rai,"Hurts to Love You (Forbidden Hearts, #3)",2018,Avon,contemporary_romance erotica,BIPOC Author
Mia Sosa,The Wedding Crasher (Paperback),2022,Avon,contemporary_romance new_adult opposites_attract fake_dating,
Kennedy Ryan,"Queen Move (All the King's Men, #3)",2020,Blue Box Press,contemporary_romance childhood_friends-to-lovers new_adult,BIPOC Author BIPOC MC
Sonali Dev,"Recipe for Persuasion (The Rajes, #2)",2020,William Morrow Paperbacks,contemporary_romance retellings  ,BIPOC Author BIPOC MC
Alexa  Martin,"Intercepted (Playbook, #1)",2018,Berkley,contemporary_romance sports rom-com,BIPOC Author BIPOC MC
Kwana Jackson,"Real Men Knit (Real Men Knit, #1)",2020,Berkley,contemporary_romance rom-com friends-to-lovers,BIPOC Author BIPOC MC
Helen Hoang,"The Heart Principle (The Kiss Quotient, #3)",2021,Berkley,contemporary_romance rom-com fake_relationship,BIPOC Author BIPOC MC
Talia Hibbert,"That Kind of Guy (Ravenswood, #3)",2019,Avon,comtemporary_romance queer_romance fake_dating,BIPOC Author BIPOC MC LGBTQ+ MC
Farah Heron,The Chai Factor (Paperback),2019,HarperAvenue,comtemporary_romance queer_romance academics queer,BIPOC Author BIPOC MC LGBTQ+ MC
Alisha Rai,"Wrong to Need You (Forbidden Hearts, #2)",2017,Avon,contemporary_romance queer_romance,BIPOC Author LGBTQ+ MC
Alyssa Cole,"Can't Escape Love (Reluctant Royals, #2.6)",2019,Avon,contemporary_romance royalty disability,BIPOC Author BIPOC MC